,Giorno,Ricoverati con sintomi,Terapia intensiva,Totale ospedalizzati,Isolamento domiciliare,Dimessi guariti,Deceduti,Totale casi,Tamponi,Totale positivi,Variazione totale positivi,Casi testati,Casi da sospetto diagnostico,Casi da screening,Nuovi casi,Andamento nuovi casi (MME),Decessi giornalieri,Nuovi tamponi,Perc. tamp. positivi,Percentuale nuovi casi %,Andamento perc. nuovi casi % (MME),And. nuovi tamponi (MME),Nuovi casi corretto tamponi,Nuovi casi corretto tamponi (MME),"N.c.corr. tamponi (MME, grande)",Unnamed: 25
0,2020-02-24,76,19,95,71,0,6,172,1463,166,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0
1,2020-02-25,79,25,104,127,0,9,240,3700,231,65,0,0,0,,68,10.2,3,2237,0.21,40.96,6.144,156.59,13.5589,2.0338,394.148
2,2020-02-26,79,25,104,145,0,9,258,3208,249,18,0,0,0,,18,11.37,0,-492,-0.0637,7.79,6.3909,111.1887,5.0546,3.1928,618.7611
3,2020-02-27,172,41,213,136,40,14,403,3320,349,100,0,0,0,,145,31.4145,5,112,9.0058,58.23,14.1668,111.2455,83.3508,18.0581,3499.5903
4,2020-02-28,235,47,282,192,40,17,531,4835,474,125,0,0,0,,128,45.9023,3,1515,8.9634,36.68,17.5438,209.5083,51.7253,18.5493,3594.7808
5,2020-02-29,256,80,336,216,40,23,615,5723,552,78,0,0,0,,84,51.617,6,888,9.0009,17.72,17.5702,257.0027,32.9705,20.26,3926.3045
6,2020-03-01,406,106,512,375,73,24,984,6879,887,335,0,0,0,,369,99.2244,1,1156,10.6039,66.85,24.9622,319.9325,177.2894,47.6733,9238.8951
7,2020-03-02,478,127,605,472,139,38,1254,7925,1077,190,0,0,0,,270,124.8408,14,1046,11.6676,30.44,25.7838,370.7573,132.2739,61.1599,11852.5557
8,2020-03-03,698,167,865,461,139,55,1520,9577,1326,249,0,0,0,,266,146.0147,17,1652,11.9779,24.7,25.6213,460.4442,150.0256,82.3532,15959.7232
9,2020-03-04,877,209,1086,411,250,73,1820,12138,1497,171,0,0,0,,300,169.1125,18,2561,11.9584,22.62,25.1711,607.4832,161.0133,90.7645,17589.8058
10,2020-03-05,1169,244,1413,364,376,98,2251,12354,1777,280,0,0,0,,431,208.3956,25,216,25.0863,28.79,25.7139,580.0793,315.1932,152.4011,29534.74
11,2020-03-06,1622,309,1931,77,469,135,2612,13556,2008,231,0,0,0,,361,231.2862,37,1202,25.4303,20.32,24.9048,623.6138,335.5974,215.0113,41668.3448
12,2020-03-07,1661,359,2020,722,524,154,3420,15778,2742,734,0,0,0,pd-IT-0002,808,317.7933,19,2222,26.1982,40.24,27.2051,735.5008,666.2303,262.0341,50781.1849
13,2020-03-08,2217,399,2616,756,550,267,4189,18534,3372,630,0,0,0,,769,385.4743,113,2756,26.3173,28.05,27.3318,876.9358,688.7175,345.2313,66904.4912
14,2020-03-09,2802,440,3242,1248,646,333,5469,20135,4490,1118,0,0,0,,1280,519.6532,66,1601,30.0751,37.96,28.9261,927.6203,1343.0667,545.2569,105668.6681
15,2020-03-10,3319,466,3785,642,896,468,5791,21479,4427,-63,0,0,0,pd-IT-0004,322,490.0052,135,1344,29.6498,7.17,25.6627,956.7668,382.4375,581.9763,112784.734
16,2020-03-11,3852,560,4412,1351,900,617,7280,25629,5763,1336,0,0,0,,1489,639.8544,149,4150,30.0873,33.63,26.8578,1180.2932,1671.0334,718.078,139160.715
17,2020-03-12,4247,605,4852,2044,1085,744,8725,29534,6896,1133,0,0,0,,1445,760.6263,127,3905,30.5712,25.07,26.5896,1371.0226,1535.2844,808.1506,156616.4386
18,2020-03-13,4435,650,5085,2647,1198,890,9820,32700,7732,836,0,0,0,,1095,810.7823,146,3166,30.8532,15.88,24.9832,1496.6711,1116.9238,827.0155,160272.397
19,2020-03-14,4898,732,5630,3429,1660,966,11685,37138,9059,1327,0,0,0,,1865,968.915,76,4438,31.6335,24.12,24.8537,1702.5641,1851.5207,961.9121,186414.8305
20,2020-03-15,5500,767,6267,3776,2011,1218,13272,40369,10043,984,0,0,0,,1587,1061.6277,252,3231,32.8562,17.52,23.7536,1809.5546,1650.098,1103.8373,213919.3757
21,2020-03-16,6171,823,6994,3867,2368,1420,14649,43565,10861,818,0,0,0,,1377,1108.9336,202,3196,33.5732,13.71,22.2471,1906.6058,1516.5037,1221.2795,236679.215
